iter	RMSE
0	45.5777856
1	44.38418402
2	43.27260214
3	42.14902822
4	41.12669217
5	40.21700594
6	39.44503552
7	38.77410881
8	37.89948924
9	37.12014756
10	36.55325826
11	35.88369667
12	35.30472996
13	34.65522285
14	34.06802833
15	33.48717281
16	32.9887371
17	32.52129315
18	32.16697741
19	31.71958216
20	31.38918743
21	31.06585058
22	30.77874575
23	30.4310555
24	30.09153979
25	29.77977794
26	29.48236761
27	29.18127715
28	28.92050932
29	28.67602187
30	28.47121436
31	28.30698491
32	28.11182156
33	27.96276719
34	27.76747182
35	27.57931699
36	27.44213688
37	27.29489517
38	27.14156855
39	26.9867436
40	26.84263845
41	26.72928763
42	26.57406027
43	26.45333848
44	26.34184198
45	26.22575237
46	26.12502307
47	26.02428154
48	25.93095858
49	25.83388586
50	25.74247172
51	25.65566677
52	25.59064499
53	25.5114908
54	25.43026817
55	25.34933126
56	25.30669169
57	25.26157825
58	25.17879108
59	25.08665064
60	25.02284394
61	24.99056418
62	24.91408124
63	24.86254005
64	24.80986288
65	24.74281801
66	24.67925356
67	24.62412086
68	24.5469417
69	24.49703527
70	24.44803139
71	24.41365064
72	24.37216455
73	24.3343477
74	24.26516541
75	24.22280612
76	24.18404477
77	24.13798634
78	24.11533884
79	24.08313155
80	24.04346432
81	24.00950453
82	23.96077106
83	23.92880379
84	23.88474998
85	23.84833326
86	23.78643151
87	23.73266769
88	23.66059028
89	23.63672701
90	23.60448152
91	23.57416194
92	23.53800407
93	23.49543135
94	23.45382174
95	23.434062
96	23.42368313
97	23.37710561
98	23.33737659
99	23.29680337
100	23.251686
101	23.22660763
102	23.1813722
103	23.13237621
104	23.10495909
105	23.08605758
106	23.0607099
107	23.04414363
108	23.00509169
109	22.97804595
110	22.94570772
111	22.93179234
112	22.90965415
113	22.87704357
114	22.83352421
115	22.80559563
116	22.77076651
117	22.75363638
118	22.71631049
119	22.69255124
120	22.6675765
121	22.64164727
122	22.60666068
123	22.58650534
124	22.54237194
125	22.5280405
126	22.49217832
127	22.48664466
128	22.44604812
129	22.42608265
130	22.39277516
131	22.35720878
132	22.33935945
133	22.3054418
134	22.28832381
135	22.2620715
136	22.22857508
137	22.20600425
138	22.17097008
139	22.14733934
140	22.1416668
141	22.10045903
142	22.0826888
143	22.06063893
144	22.02742344
145	21.98798104
146	21.95619616
147	21.92078716
148	21.90347328
149	21.87070093
150	21.85226611
151	21.82763037
152	21.8106085
153	21.79371519
154	21.77037201
155	21.75057656
156	21.73389584
157	21.71631389
158	21.68475551
159	21.65982407
160	21.6245265
161	21.61003473
162	21.57230497
163	21.54671972
164	21.51794551
165	21.48968112
166	21.46540136
167	21.44391011
168	21.40110348
169	21.37407984
170	21.34240255
171	21.31191576
172	21.27397878
173	21.25950486
174	21.24578996
175	21.21227588
176	21.18906543
177	21.13997102
178	21.10607158
179	21.0830125
180	21.0600481
181	21.03935732
182	21.0114451
183	20.97140643
184	20.95475484
185	20.94666513
186	20.92551609
187	20.90098851
188	20.88008125
189	20.87604452
190	20.85338958
191	20.83562412
192	20.79920566
193	20.77195045
194	20.73299173
195	20.70686994
196	20.68398341
197	20.67116772
198	20.65260136
199	20.64807277
200	20.63294888
201	20.62913455
202	20.61549455
203	20.5978622
204	20.57963766
205	20.55650201
206	20.53697055
207	20.52429396
208	20.4853485
209	20.46924432
210	20.4631981
211	20.44281502
212	20.40717705
213	20.39281524
214	20.36645282
215	20.35547947
216	20.34098963
217	20.32695676
218	20.29922264
219	20.27931419
220	20.2279968
221	20.2070675
222	20.179908
223	20.14448528
224	20.13303948
225	20.09870925
226	20.09431548
227	20.0836213
228	20.05146913
229	20.03121776
230	20.02206016
231	20.00102453
232	19.97805253
233	19.94597915
234	19.93796266
235	19.918367
236	19.88320572
237	19.87370233
238	19.84936778
239	19.84749161
240	19.82703419
241	19.79267674
242	19.77238707
243	19.75602246
244	19.73644851
245	19.71996275
246	19.71573901
247	19.71175692
248	19.70714011
249	19.69163733
250	19.68221661
251	19.66796638
252	19.64603072
253	19.63675429
254	19.6127652
255	19.61114339
256	19.60253109
257	19.58866136
258	19.55245627
259	19.54058138
260	19.5159047
261	19.5002715
262	19.49209579
263	19.48022693
264	19.45480356
265	19.44829854
266	19.40858004
267	19.38715392
268	19.36242395
269	19.35824782
270	19.35410895
271	19.31406318
272	19.29240286
273	19.2746631
274	19.25773682
275	19.24778797
276	19.22867221
277	19.22032125
278	19.18612932
279	19.17032963
280	19.16030747
281	19.11498457
282	19.11190036
283	19.10415756
284	19.0795974
285	19.06463342
286	19.04391204
287	19.02145466
288	19.00441051
289	18.96967586
290	18.96491813
291	18.93467855
292	18.89657041
293	18.87477132
294	18.87190438
295	18.84749268
296	18.83035985
297	18.81710112
298	18.81288621
299	18.79502443
