iter	Passed	Remaining
0	0	291
1	1	247
2	2	231
3	2	220
4	3	215
5	4	209
6	4	206
7	5	203
8	6	201
9	6	199
10	7	199
11	8	197
12	8	195
13	9	194
14	10	192
15	10	191
16	11	191
17	12	190
18	12	188
19	13	187
20	13	185
21	14	184
22	15	182
23	15	181
24	16	180
25	17	179
26	17	179
27	18	179
28	19	179
29	19	178
30	20	177
31	21	176
32	21	175
33	22	175
34	22	174
35	23	173
36	24	172
37	24	171
38	25	170
39	26	170
40	26	169
41	27	168
42	27	167
43	28	166
44	29	165
45	29	164
46	30	163
47	30	162
48	31	161
49	32	160
50	32	160
51	33	159
52	33	158
53	34	157
54	35	156
55	35	155
56	36	154
57	37	154
58	37	154
59	38	153
60	38	152
61	39	151
62	40	151
63	40	150
64	41	149
65	42	149
66	42	148
67	43	147
68	43	147
69	44	146
70	45	145
71	45	145
72	46	144
73	47	143
74	47	143
75	48	142
76	48	141
77	49	140
78	50	140
79	50	139
80	51	138
81	51	138
82	52	137
83	53	137
84	53	136
85	54	135
86	55	134
87	55	134
88	56	133
89	56	132
90	57	132
91	58	131
92	58	130
93	59	130
94	59	129
95	60	128
96	61	127
97	61	127
98	62	126
99	63	126
100	63	125
101	64	124
102	64	124
103	65	123
104	66	122
105	66	122
106	67	121
107	67	120
108	68	120
109	69	119
110	69	118
111	70	118
112	70	117
113	71	116
114	72	116
115	72	115
116	73	114
117	73	113
118	74	113
119	75	112
120	75	111
121	76	111
122	76	110
123	77	109
124	78	109
125	78	108
126	79	107
127	79	107
128	80	106
129	81	106
130	81	105
131	82	104
132	83	104
133	83	103
134	84	102
135	84	102
136	85	101
137	85	100
138	86	100
139	87	99
140	87	98
141	88	98
142	88	97
143	89	97
144	90	96
145	90	95
146	91	95
147	91	94
148	92	93
149	93	93
150	93	92
151	94	91
152	94	91
153	95	90
154	96	89
155	96	89
156	97	88
157	97	88
158	98	87
159	99	86
160	99	86
161	100	85
162	101	84
163	101	84
164	102	83
165	102	82
166	103	82
167	103	81
168	104	81
169	105	80
170	105	79
171	106	79
172	107	78
173	107	77
174	108	77
175	108	76
176	109	76
177	110	75
178	110	74
179	111	74
180	111	73
181	112	72
182	113	72
183	113	71
184	114	71
185	114	70
186	115	69
187	116	69
188	116	68
189	117	67
190	117	67
191	118	66
192	119	66
193	119	65
194	120	64
195	120	64
196	121	63
197	122	62
198	122	62
199	123	61
200	124	61
201	124	60
202	125	59
203	125	59
204	126	58
205	127	58
206	127	57
207	128	56
208	128	56
209	129	55
210	130	54
211	130	54
212	131	53
213	131	53
214	132	52
215	133	51
216	133	51
217	134	50
218	134	49
219	135	49
220	136	48
221	136	48
222	137	47
223	137	46
224	138	46
225	139	45
226	139	44
227	140	44
228	140	43
229	141	43
230	142	42
231	142	41
232	143	41
233	144	40
234	144	40
235	145	39
236	145	38
237	146	38
238	147	37
239	147	36
240	148	36
241	148	35
242	149	35
243	149	34
244	150	33
245	151	33
246	151	32
247	152	31
248	152	31
249	153	30
250	154	30
251	154	29
252	155	28
253	155	28
254	156	27
255	157	27
256	157	26
257	158	25
258	158	25
259	159	24
260	160	23
261	160	23
262	161	22
263	162	22
264	162	21
265	163	20
266	164	20
267	164	19
268	165	19
269	166	18
270	166	17
271	167	17
272	167	16
273	168	15
274	169	15
275	169	14
276	170	14
277	171	13
278	171	12
279	172	12
280	173	11
281	173	11
282	174	10
283	174	9
284	175	9
285	176	8
286	176	8
287	177	7
288	178	6
289	178	6
290	179	5
291	180	4
292	180	4
293	181	3
294	182	3
295	182	2
296	183	1
297	183	1
298	184	0
299	185	0
